"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","1151","0.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","74170","0.0-1.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","[{""page_index"":0,""viewing_time"":73017}]","73017","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","75414","0.0-2.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","1366","641","true","chrome","131.0.0","false","Windows 10","true","48.49","true","true","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","99274","0.0-3.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","21794","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","107351","0.0-4.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","7775","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","108562","0.0-5.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","1366","768","true","chrome","131.0.0","false","Windows 10","true","49.67","true","true","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","122780","0.0-6.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","14217","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","205376","0.0-7.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","82594","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","215311","0.0-8.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","9935","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","","",""
"","","","","","browser-check","9","247344","0.0-9.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","1366","768","true","chrome","131.0.0","false","Windows 10","true","38.73","true","true","","","","","","","","","","","","","","","","","",""
